Count	Words
3		the Lobster
3		the Owl
3		the answer
3		the back
3		the bank
3		the beginning
3		the bottle
3		the bread
3		the conversation
3		the creatures
3		the day
3		the e
3		the edge
3		the floor
3		the glass
3		the guinea
3		the hedgehog
3		the jurors
3		the list
3		the lobsters
3		the matter
3		the only
3		the place
3		the procession
3		the question
3		the room
3		the second
3		the stick
3		the thing
3		the trial
3		the two
3		the verses
3		the voice
3		the well
3		the young
3		the youth
3		their mouths
3		their tails
3		them I
3		them all
3		them out
3		then Alice
3		then a
3		there seemed
3		they WOULD
3		they began
3		they both
3		they don't
3		they got
3		they live
3		they saw
3		they would
3		thing was
3		things are
3		think it
3		this a
3		this and
3		this so
3		thought poor
3		thought that
3		three of
3		till the
3		time the
3		time there
3		time with
3		to ME
3		to explain
3		to feel
3		to happen
3		to him
3		to himself
3		to me
3		to one
3		to open
3		to repeat
3		to said
3		to school
3		to sea
3		to sing
3		to take
3		to try
3		to turn
3		to write
3		to your
3		together Alice
3		took up
3		tried the
3		two she
3		up at
3		up by
3		up like
3		upon it
3		venture to
3		very carefully
3		very good
3		very likely
3		very nearly
3		very well
3		voice to
3		was I
3		was at
3		was certainly
3		was coming
3		was exactly
3		was getting
3		was more
3		was out
3		was talking
3		way I
3		way and
3		way out
3		way you
3		we went
3		we were
3		well enough
3		went in
3		were the
3		were trying
3		what she
3		what you're
3		when suddenly
3		when you
3		whether it
3		which seemed
3		who were
3		whole party
3		will be
3		window and
3		with all
3		with great
3		with such
3		wonder if
3		would change
3		would happen
3		wouldn't be
3		yet said
3		you a
3		you and
3		you come
3		you do
3		you ever
3		you executed
3		you go
3		you have
3		you may
3		you tell
3		you want
3		you'd better
3		young lady
3		your evidence
3		your tongue
2		A barrowful
2		ARE OLD
2		Alice Nothing
2		Alice Of
2		Alice That's
2		Alice The
2		Alice Then
2		Alice What
2		Alice called
2		Alice cautiously
2		Alice for
2		Alice guessed
2		Alice it's
2		Alice noticed
2		Alice remarked
2		Alice soon
2		Alice that
2		Alice the
2		Alice timidly
2		Alice when
2		Alice whispered
2		Alice with
2		Alice's shoulder
2		All right
2		An invitation
2		And he
2		And here
2		And oh
2		And then
2		And what
2		And who
2		Are you
2		As if
2		BEST butter
2		Beautiful Soup
2		Beautiful beautiful
2		Bill I
2		Bill the
2		Bill's got
2		But I
2		But I'm
2		But perhaps
2		But the
2		But they
2		But who
2		CAN I
2		Cat I
2		Cat said
2		Cat's head
2		Caterpillar took
2		Caucus race
2		Come let's
2		Come there's
2		Consider your
2		Digging for
2		Dinah I
2		Do cats
2		Dodo solemnly
2		Don't be
2		Don't let
2		Dormouse again
2		Dormouse not
2		Dormouse shook
2		Dormouse who
2		Down down
2		Duchess I
2		Duchess Oh
2		Duchess as
2		Duchess took
2		Duchess was
2		Edwin and
2		Exactly so
2		FATHER WILLIAM
2		FIT you
2		Father William
2		First she
2		Fish Footman
2		Five and
2		Footman and
2		For instance
2		For some
2		For the
2		Gryphon I
2		Gryphon replied
2		Gryphon said
2		Gryphon you
2		Hare Alice
2		Hare and
2		Hare interrupted
2		Hare went
2		Hatter You
2		Hatter said
2		Hatter with
2		Have you
2		He was
2		Here Bill
2		How am
2		How are
2		How do
2		How doth
2		How queer
2		How the
2		I breathe
2		I couldn't
2		I give
2		I got
2		I grow
2		I hardly
2		I hope
2		I might
2		I ought
2		I passed
2		I quite
2		I sleep
2		I thought
2		I want
2		I wouldn't
2		I'd nearly
2		I'd rather
2		I'll be
2		I'll give
2		I'll stay
2		I'm NOT
2		I'm on
2		I've had
2		I've often
2		IS a
2		If I
2		In a
2		In another
2		It IS
2		It is
2		It must
2		It's no
2		King that
2		King the
2		Let us
2		ME said
2		Mabel I'll
2		May it
2		Mercia and
2		Mock Turtle's
2		Morcar the
2		Mouse did
2		Mouse in
2		Mouse only
2		Mouse to
2		Mouse who
2		NOT a
2		Next came
2		No I
2		No room
2		No said
2		Not I
2		Not at
2		O Mouse
2		OLD FATHER
2		Oh don't
2		Oh you
2		One side
2		Pennyworth only
2		Perhaps it
2		Pigeon in
2		Queen I
2		Queen to
2		Queen turned
2		Rabbit and
2		Rabbit blew
2		Rabbit came
2		Rabbit in
2		Rabbit read
2		Rabbit say
2		Rabbit was
2		Rabbit who
2		Rabbit with
2		Rabbit's voice
2		She did
2		She felt
2		She went
2		So Alice
2		Some of
2		Soup Beau
2		Soup of
2		THAT direction
2		Tell her
2		Tell us
2		That I
2		That's right
2		The Cat
2		The Caterpillar
2		The Gryphon
2		The Queen's
2		The Rabbit
2		The next
2		The other
2		Then they
2		There is
2		There's a
2		They had
2		This is
2		Treacle said
2		Turtle Soup
2		Turtle and
2		Turtle but
2		Turtle sighed
2		Turtle to
2		WAS a
2		WHAT thought
2		Wake up
2		We must
2		Well I've
2		Well then
2		What did
2		What do
2		What else
2		What is
2		What sort
2		What was
2		Which way
2		While she
2		Who are
2		Who cares
2		Who is
2		Why SHE
2		Why did
2		Why there's
2		Why what
2		Would not
2		Wow wow
2		YOU ARE
2		YOU said
2		Yes but
2		Yes please
2		You MUST
2		You can
2		You did
2		You know
2		You may
2		You see
2		You're a
2		a Caucus
2		a Cheshire
2		a Gryphon
2		a baby
2		a bat
2		a bottle
2		a bright
2		a candle
2		a capital
2		a cat
2		a child
2		a dead
2		a deal
2		a dear
2		a fall
2		a fan
2		a fish
2		a footman
2		a frog
2		a game
2		a general
2		a head
2		a hoarse
2		a kind
2		a letter
2		a lobster
2		a loud
2		a moment's
2		a muchness
2		a natural
2		a nice
2		a number
2		a pack
2		a porpoise
2		a rabbit
2		a real
2		a row
2		a shower
2		a shrill
2		a smile
2		a song
2		a sorrowful
2		a story
2		a sudden
2		a sulky
2		a telescope
2		a time
2		a timid
2		a tiny
2		a treacle
2		a trial
2		a violent
2		a week
2		a while
2		a whisper
2		a word
2		about four
2		about here
2		about like
2		about them
2		about two
2		across the
2		added as
2		added to
2		advance twice
